[game_title] タイマーインクリメンタル
[version_text] 現在のバージョン 1.4.2
[join_us] 参加する
[about] について
[about_title] タイマーインクリメンタルについて
[about_desc] これは時間のインクリメンタルゲームです。プレイヤーはアップグレードを購入し、チャレンジをクリアすることで時間の蓄積を加速させ、ゆっくりとした成長から爆発的な加速を体験します。
[author] 作者：
[author_name] 陈风就是浪(QQ 399095982)
[gameplay_tip] 遊び方のヒント：
[gameplay_text] まず速度と自動分を優先的に上げ、その後サイクルボーナスとゴールデンタイムを集めることで、より速く分を獲得できます。
[acknowledgment] 謝辞：
[acknowledgment_names] anzero(QQ 3993298503) 一个增量的人(QQ 2481258834) 一个刷号的人(QQ 3605754861)
[thanks] サポートとフィードバックをくださった全てのプレイヤーに感謝します！
[author_name_short] 陈风就是浪
[exit_challenge_confirm] チャレンジモードを終了しますか？現在の進行状況は失われます。
[exit_challenge_success] チャレンジモードを終了しました。
[enter_challenge_success] チャレンジモードに入りました！チャレンジを選択して開始できます。
[resume] 再開
[play] 開始
[pause] 一時停止
[export_prompt] 下のセーブコードをコピーしてください：
[export_prompt_raw] 下の生セーブデータをコピーしてください：
[import_prompt] セーブ文字列を貼り付けてください：
[import_success] インポート成功！ゲームがリフレッシュされます。
[import_error] セーブデータが無効で、解析できません！完全にコピーされているか確認してください。エラー：
[delete_confirm] ⚠️ 警告：この操作により、セーブデータ、実績の進行状況、クリック記録、マイルストーンなど、すべてのゲームデータが完全に削除されます。\n\n本当にすべてのデータを削除して最初からやり直しますか？
[delete_success] すべてのデータが完全に消去されました！
[time_day] 日
[time_hour] 時間
[time_minute] 分
[time_second] 秒
[tab_timer] タイマー
[tab_upgrades] アップグレード
[tab_achievements] 実績
[tab_challenges] チャレンジ
[tab_rebirth] 転生
[tab_stats] 統計
[tab_settings] 設定
[settings_title] ゲーム設定
[save_management] セーブ管理
[export_save] セーブのエクスポート
[import_save] セーブのインポート
[interface_theme] インターフェーステーマ
[theme_desc] 異なるビジュアルスタイルに切り替え
[danger_operations] 危険な操作
[delete_save] データ削除
[delete_save_desc] ゲームデータ（セーブ、実績、クリック記録等）を完全に消去します。この操作は元に戻せません！
[current_minute_seconds] 現在の分の秒数
[accumulated_seconds] 累計秒数
[completed_cycles] 完了したサイクル
[current_multiplier] 現在の倍率
[play] 開始
[pause] 一時停止
[resume] 再開
[minutes_owned] 所有分：
[basic_upgrades] 基本アップグレード
[advanced_upgrades] 高度なアップグレード
[expert_upgrades] 達人アップグレード
[ach_first_step_title] 第一歩
[ach_first_step_desc] 初めてアップグレードを購入する
